pattern,request_every_seconds,seed,policy,window_start_seconds,window_end_seconds,schedule_id,scheduled,served,remaining,skipped,wait_average_seconds,wait_maximum_seconds,empty_distance_meters,positioning_moves
bursty-hotspot,45,2,off,0,900,f593df68c901b498,19,11,8,0,223.73245614035088,450,7305.0072840247085,0
bursty-hotspot,45,2,on,0,900,f593df68c901b498,19,10,9,0,257.9324561403509,450,8893.022248047122,1
bursty-hotspot,45,3,off,0,900,19734fa96c7ea0e1,19,10,9,0,221.51754385964912,450,9421.77834250325,0
bursty-hotspot,45,3,on,0,900,19734fa96c7ea0e1,19,9,10,0,241.87719298245614,450,10636.514950312312,1
bursty-hotspot,45,4,off,0,900,87d2e7f5d01286d5,19,11,8,0,203.5921052631579,381.3666666666667,4529.063100933154,0
bursty-hotspot,45,4,on,0,900,87d2e7f5d01286d5,19,9,10,0,221.40438596491228,450,6409.351908876082,1
bursty-hotspot,45,5,off,0,900,81ff6a0f250c6c7f,19,13,6,0,158.18684210526317,324.1,5525.847188096979,0
bursty-hotspot,45,5,on,0,900,81ff6a0f250c6c7f,19,12,7,0,192.8,372.53333333333336,7649.266618668784,1
bursty-hotspot,45,6,off,0,900,9a3213a68160a53e,19,11,8,0,211.3385964912281,367.21666666666664,5167.879821315661,0
bursty-hotspot,45,6,on,0,900,9a3213a68160a53e,19,11,8,0,200.3140350877193,356.7,5743.513154649592,1
bursty-hotspot,45,7,off,0,900,663431155599ff27,19,10,9,0,214.94210526315788,450,6780.4059323302645,0
bursty-hotspot,45,7,on,0,900,663431155599ff27,19,9,10,0,242.86929824561403,450,8127.620896352411,1
bursty-hotspot,45,8,off,0,900,9a160f740e33cebc,19,14,5,0,149.0675438596491,315,4088.280009984426,0
bursty-hotspot,45,8,on,0,900,9a160f740e33cebc,19,14,5,0,130.54210526315788,315,4150.2241857554145,1
bursty-hotspot,45,9,off,0,900,ed04003053facadd,19,11,8,0,227.58157894736843,422.43333333333334,5947.327615874283,0
bursty-hotspot,45,9,on,0,900,ed04003053facadd,19,12,7,0,217.1,377.5833333333333,7232.760949208765,1
bursty-hotspot,45,10,off,0,900,745c498a9bd99d9f,19,12,7,0,179.4377192982456,315,5325.740859740841,0
bursty-hotspot,45,10,on,0,900,745c498a9bd99d9f,19,12,7,0,164.55964912280703,315,5583.544524925639,1
bursty-hotspot,60,1,off,0,900,82bf2b435efde7db,14,11,3,0,110.60714285714286,244.36666666666667,3711.665248002524,0
bursty-hotspot,60,1,on,0,900,82bf2b435efde7db,14,8,6,0,210.2297619047619,399.65,9238.702359289895,1
bursty-hotspot,60,2,off,0,900,886fbf499b9cc71d,14,11,3,0,154.27857142857144,261.4,5601.207284023039,0
bursty-hotspot,60,2,on,0,900,886fbf499b9cc71d,14,10,4,0,197.90952380952382,336.03333333333336,8683.022248047006,1
bursty-hotspot,60,3,off,0,900,d70c66c3495ab2fa,14,9,5,0,165.3190476190476,319.3666666666667,8670.350141255387,0
bursty-hotspot,60,3,on,0,900,d70c66c3495ab2fa,14,9,5,0,171.28571428571428,328.8833333333333,10636.514950312021,1
bursty-hotspot,60,4,off,0,900,23f95b071da07ac5,14,11,3,0,127.81785714285714,246.36666666666667,4319.063100932935,0
bursty-hotspot,60,4,on,0,900,23f95b071da07ac5,14,9,5,0,148.4440476190476,310.31666666666666,6409.351908876082,1
bursty-hotspot,60,5,off,0,900,e6fab1d70519723d,14,12,2,0,124.33809523809525,272.6166666666667,5926.336897320665,0
bursty-hotspot,60,5,on,0,900,e6fab1d70519723d,14,9,5,0,208.9452380952381,360.43333333333334,11059.001914543825,1
bursty-hotspot,60,6,off,0,900,c83820ef838d5689,14,11,3,0,136.81666666666666,256.75,4994.180376871085,0
bursty-hotspot,60,6,on,0,900,c83820ef838d5689,14,10,4,0,167.5738095238095,344.75,6811.044179961309,1
bursty-hotspot,60,7,off,0,900,b6e08f07fc145cd4,14,10,4,0,140.63571428571427,300,6570.405932330046,0
bursty-hotspot,60,7,on,0,900,b6e08f07fc145cd4,14,9,5,0,174.37857142857143,300,8127.620896352315,1
bursty-hotspot,60,8,off,0,900,380d4aa6cd5cf1cb,14,13,1,0,60.18809523809524,142.35,2437.6800099841194,0
